[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE, Tot Res Exp , Ind Res Exp , Fed Res Exp , Gross Lic Inc , Leg Fees , Lic Inc Equ , Lic Inc Other , Lic Inc Pd Oth , Lic Inc Run Roy , Reimb Leg Fee , Iss US Pat , Tot Pat App Fld , Util Pat App Fld , New Pat App Fld , For. Pat App Fld , New Prod , Act Lic , Cum Op St-Ups , Excl Lic/Opt. , Inv Dis Rec , Lic $1mm+ , Lic Gen Inc , Lic Gen Run Roy , Lic Iss , Lic w Equ , NEWCOMPSUPP , Non-Excl Lic/Opt , Opt Iss , Pro Pat App Fld , St-Ups Cld , St-Ups Formed , St-Ups in Home St , St-Ups w Equ , Tot Discl Lic , Tot Lic Lg Co , Tot Lic Sm Co , Tot Lic St-Ups , Tot Lic/Opt Exe , Lic FTEs , Oth FTEs , AirQualityIndex , Airports , Bike Score , Crime Rate , Transit Score , Median Age , Total Population , Female Population , Male Population , Foreign-born , Number of Veterans ,WalkScore
71367,Cleveland Clinic,Yes,Cleveland,OH,4HRI,251000000,61000000,104000000,27448180,3042547,16401949,5943231,204092,5103000,419382,48,146.5,39.8,153,35.7,1.3,252,43.2,16.8,229.7,2.7,86.3,47.3,29.2,2,0.2,12.3,3.5,77.5,6,5.5,3.7,5.5,38.8,16.7,11.7,4.3,32.7,31.2,22.1,45,1,52,72.3,44,36,388059,201623,186436,18830,19849,
71372,Cold Spring Harbor Laboratory,No,Cold Spring Harbor,NY,4HRI,99066560,3927113,49063021,6391168,578764, -   ,5831863,302932,559305, -   ,4.5,18.5,0.5,13, -   ,,196,11,5,10,0.5,80.5,52.5,17.5,3.5, -   ,12.5,2.5,12.5,0.5,3.5,3.5,2.5,27.5,8.5,6,5.5,20,3.5,2,45,3,17,7.8,,,,,,,,52
71385,Cornell University,Yes,Ithaca,NY,5U,817533145,40671859,440806031,8420247,7289810,9456,3668595,434727,4742196,3609426,86.3,314.5,4.2,164,1.8,18.5,860.5,63.5,24,361.8,1.3,363.2,167,117,7.3, -   ,93,7,158,5.2,10.5,6.7,6.3,112.5,10.5,100.5,13,124,9,18,39,1,58,25.3,,,,,,,,72
71402,Dana-Farber Cancer Institution,No,Boston,MA,4HRI,256363626,61103487,157218710,8075777,4565855,656477,2198420,705403,5220880,182144,26.8,104.4,1.6,114.8,41.6,2,406,18.8,6.3,107.3,1.2,165.8,126.3,33.8,1.7, -   ,26.8,4.5,55.2,0.6,2.6,1.4,1.4,27.8,16.3,21.5,2.2,38.3,13,7,35,3,69,42.4,72,31.8,669469,347320,322149,190123,18350,
71405,Dartmouth College,Yes,Hanover,NH,5U,184878749,12877453,162130052,1003025,1171315,15239,781037,15874,206749,169750,24.7,110.2,0.5,41, -   , -   ,116.3,15.7,3.3,64,0.7,73.7,53.7,6.2,0.7,6.2,2.8,0.8,40.5,0.2,1.3,1,0.8,8.3,1.2,4.3,1.5,7,1.2,3.2,29,3,80,9.8,,,,,,,,
71435,Duke University,Yes,Durham,NC,5U,898699000,240640000,559217000,36765244,4543831,1124142,8347011,604183,27294091,1538138,52.3,273.3,2.5,129.3, -   ,28.2,871.2,61.5,38.2,215.2,3.7,251,96.7,118.3,13, -   ,80.2,7.2,126.8,1.5,6.3,3.8,4.5,140.2,73.7,35.2,16.7,125.5,9.2,14.8,37,1,38,51.9,28,33.2,257598,136445,121153,38642,12528,30
71441,East Carolina University,Yes,Greenville,NC,5U,26549000,1733000,15079000,154818,224256, -   ,81245, -   ,73573,8501,4,11,0.3,4.3,0.7,1,16.7,3.8,1.8,11.5, -   ,6.5,4.8,2.7,0.3, -   ,0.8,0.2,3.3,0.3,0.7,0.5,0.7,2.8,0.8,1.2,0.8,2.8,1,2,36,1,43,47,,26.2,90588,50691,39897,4183,4283,31
71464,Embry-Riddle Aeronautical University,No,Daytona Beach,FL,5U,13877426,116160,11455846, -   ,156600, -   , -   , -   , -   , -   , -   ,9, -   ,3, -   , -   , -   , -   , -   ,7, -   , -   , -   , -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   ,30,1,51,69.8,31,,,,,,,37
71465,Emory University,Yes,Atlanta,GA,5U,478333305,41953278,332217396,7948859,2343657, -   ,2666797,192931,5282062,952215,23.7,170,1.7,87.3,5.8,10.5,274.7,29.5,11.7,227.3,1.8,110.5,68,39.7,2.5, -   ,28,3.7,79.8,0.7,4.5,2.5,2.2,44.2,17,22,4.3,43.3,   ,   ,40,3,42,60.5,44,33.8,463875,239915,223960,32016,18572,
71496,Florida Atlantic University,No,Boca Raton,FL,5U,41605782,837815,25775806,145476,206570, -   ,49250,7500,96226,31740,4,14,7,15,1,,10,2,3,25, -   ,4,1,5, -   , -   ,2,1,7, -   ,1, -   , -   ,7,2,1,3,6,2,1,31,3,56,29.6,,47.3,93226,48466,44760,21117,4367,38
