[ID],INSTITUTION,City,State,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate
20160308,University of Southern Mississippi,Hattiesburgh,MS,,48,37,1,58.95
95166,Stevens Institution of Technology,Hoboken,NJ,74.0,78,47,3,24.46
72371,University of Hawaii,Honolulu,HI,56.0,51,20,1,25.47
71847,Michigan TechNological University,Houghton,MI,,51,28,1,13.18
81039,Baylor College of Medicine,Houston,TX,36.0,49,44,3,58.01
72104,Rice University,Houston,TX,36.0,49,44,3,58.01
72372,University of Houston,Houston,TX,36.0,49,44,3,58.01
72342,University of Alabama in Huntsville,Huntsville,AL,11.0,40,39,1,33.74
92675,University of Iowa Research Foundation,Iowa City,IA,,66,41,1,30.03
97017,Boyce Thompson Institution for Plant Research,Ithaca,NY,,58,39,1,25.31
71385,Cornell University,Ithaca,NY,,58,39,1,25.31
82857,University of North Florida,Jacksonville,FL,21.0,41,29,1,49.75
95090,Kent State University,Kent,OH,,48,43,1,34.13
72424,University of Rhode Island,Kingston,RI,,38,37,1,27.35
72438,University of Tennessee,Knoxville,TN,27.0,30,41,1,58.11
20140301,University of Louisiana at Lafayette,Lafayette,LA,,47,38,1,47.44
95118,New Mexico State University,Las Cruces,NM,,46,37,1,48.21
94012,Johns Hopkins University Applied Physics Laboratory,Laurel,MD,32.0,40,42,1,42.24
92679,University of Kansas,Lawrence,KS,35.0,61,44,1,34.95
72379,University of Kentucky Research Foundation,Lexington,KY,27.0,46,46,1,37.88
20100289,NUtech Ventures,Lincoln,NE,24.0,59,41,1,30.29
82984,University of Nebraska,Lincoln,NE,24.0,59,41,1,30.29
94410,University of Arkansas for Medical Sciences,Little Rock,AR,19.0,32,48,1,59.14
20140304,Lawrence Livermore National Laboratory,Livermore,CA,,66,68,3,20.08
72010,Utah State University,Logan,UT,,51,41,1,22.43
71326,Cedars-Sinai Medical Center,Los Angeles,CA,53.0,59,73,3,30.51
92748,Childrens Hospital Los Angeles,Los Angeles,CA,53.0,59,73,3,30.51
95038,City of Hope National Medical Center & Beckman Research  Institution,Los Angeles,CA,53.0,59,73,3,30.51
20000011,Keck Graduate Institution of Applied Life Sciences,Los Angeles,CA,53.0,59,73,3,30.51
72432,University of Southern California,Los Angeles,CA,53.0,59,73,3,30.51
71648,University of Louisville,Louisville,KY,56.0,79,46,1,64.34
99018,W.A.R.F./University of Wisconsin-Madison,Madison,WI,35.0,66,40,1,33.1
98001,WiSys TechNology Foundation,Madison,WI,35.0,66,40,1,33.1
71717,Kansas State University Research Foundation,Manhattan,KS,,54,44,1,36.16
92615,Tufts University,Medford,MA,48.0,59,35,3,25.11
100083,St. Jude Children's Research Hospital,Memphis,TN,22.0,41,45,1,81.14
20100276,University of Memphis,Memphis,TN,22.0,41,45,1,81.14
2000008,Florida International University,Miami,FL,57.0,64,34,3,54.37
96044,Blood Center of Wisconsin,Milwaukee,WI,49.0,58,42,1,63.46
72579,Marquette University,Milwaukee,WI,49.0,58,42,1,63.46
71822,Medical College of Wisconsin Research Foundation,Milwaukee,WI,49.0,58,42,1,63.46
95263,University of Wisconsin-Milwaulkee,Milwaukee,WI,49.0,58,42,1,63.46
72390,University of Minnesota,Minneapolis,MN,55.0,83,41,1,54.24
20120295,Salish Kootenai College,Missoula,MT,34.0,60,40,1,42.82
95222,University of Montana,Missoula,MT,34.0,60,40,1,42.82
72428,University of South Alabama,Mobile,AL,,34,36,1,58.14
72518,West Virginia University,Morgantown,WV,,40,39,1,42.42
72373,University of Idaho,Moscow,ID,,58,36,1,24.14
95008,Ball State University,Muncie,IN,,53,41,1,53.6
92609,Vanderbilt University,Nashville,TN,74.0,72,42,1,57.71
95150,Rutgers The State University of New Jersey,New Brunswick,NJ,35.0,60,46,3,45.49
72320,Tulane University,New Orleans,LA,44.0,66,41,1,75.79
71137,Albert Einstein College of Medicine,New York,NY,89.0,69,45,3,28.29
92633,Columbia University,New York,NY,89.0,69,45,3,28.29
95073,Hospital for Special Surgery,New York,NY,89.0,69,45,3,28.29
92617,Memorial Sloan Kettering Cancer Center,New York,NY,89.0,69,45,3,28.29
94788,Mount Sinai School of Medicine of NYU,New York,NY,89.0,69,45,3,28.29
95119,New York Blood Center,New York,NY,89.0,69,45,3,28.29
71940,New York University,New York,NY,89.0,69,45,3,28.29
95149,Rockefeller University,New York,NY,89.0,69,45,3,28.29
95160,Sloan Kettering Institution for Cancer Research,New York,NY,89.0,69,45,3,28.29
95116,New Jersey Institution of Technology,Newark,NJ,65.0,51,46,3,69.21
72361,University of Delaware,Newark,DE,27.0,61,42,3,58.46
96010,Eastern Virginia Medical School,Norfolk,VA,36.0,47,38,1,63.62
96020,Old Dominion University,Norfolk,VA,36.0,47,38,1,63.62
95081,Illinois State University,Normal,IL,35.0,51,43,1,20.23
95036,Children's Hospital Oakland Research Institution,Oakland,CA,57.0,65,75,3,77.93
95049,Creighton University,Omaha,NE,24.0,42,42,1,42.6
72354,University of Central Florida,Orlando,FL,33.0,57,32,1,57.73
95208,University of Maine,Orono,ME,,41,27,1,15.83
95105,Miami University,Oxford,OH,18.0,53,44,1,14.1
95220,University of Mississippi,Oxford,MS,,37,37,1,25.49
92614,California Institute of Technology,Pasadena,CA,51.0,70,73,3,26.49
99020,University of West Florida,Pensacola,FL,,47,27,1,64.85
80658,Children's Hospital of Philadelphia,Philadelphia,PA,67.0,67,42,3,57.59
92804,Drexel University,Philadelphia,PA,67.0,67,42,3,57.59
95063,Fox Chase Cancer Center,Philadelphia,PA,67.0,67,42,3,57.59
20160310,Temple University,Philadelphia,PA,67.0,67,42,3,57.59
72299,Thomas Jefferson University,Philadelphia,PA,67.0,67,42,3,57.59
72416,University of Pennsylvania,Philadelphia,PA,67.0,67,42,3,57.59
95279,Wistar Institution,Philadelphia,PA,67.0,67,42,3,57.59
71318,Carnegie Mellon University,Pittsburgh,PA,55.0,55,41,1,37.79
2000007,Duquesne University,Pittsburgh,PA,55.0,55,41,1,37.79
100267,University of Pittsburgh,Pittsburgh,PA,55.0,55,41,1,37.79
80648,Idaho State University,Pocatello,ID,,42,38,1,39.28
72002,Oregon Health & Science University,Portland,OR,49.0,83,42,1,57.66
72060,Portland State University,Portland,OR,49.0,83,42,1,57.66
20140302,"Providence Health & Services,Oregon",Portland,OR,49.0,83,42,1,57.66
72068,Princeton University,Princeton,NJ,,88,47,3,11.12
92669,Brown University,Providence,RI,47.0,61,37,1,51.28
92737,Brigham Young University,Provo,UT,33.0,63,42,1,25.52
95274,Washington State University Research Foundation,Pullman,WA,,39,38,1,24.24
71954,North Carolina State University,Raleigh,NC,29.0,39,38,1,35.35
72596,University of Nevada at Reno,Reno,NV,24.0,52,47,1,57.31
72501,Virginia Commonwealth University,Richmond,VA,,51,39,1,55.85
83462,Mayo Foundation for Medical Education and Research,Rochester,MN,,57,39,1,21.22
