YEAR,[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE,Tot Res Exp,Tot Lic/Opt Exe,Fed Res Exp,Ind Res Exp,Leg Fees,Reimb Leg Fee,Act Lic,Excl Lic/Opt.,Lic w Equ,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Discl Lic,Non-Excl Lic/Opt,Lic Iss,Opt Iss,NEWCOMPSUPP,Lic Inc Equ,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Inc Other,Lic Inc Pd Oth,Gross Lic Inc,Lic Inc Run Roy,Inv Dis Rec,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Tot Pat App Fld,Iss US Pat,New Prod,Cum Op St-Ups,St-Ups Cld,St-Ups in Home St,St-Ups Formed,St-Ups w Equ,Lic FTEs,Oth FTEs,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born
2011,71367,Cleveland Clinic,Yes,Cleveland,OH,4HRI,258000000,32,112000000,63000000,2701060,490953,251,24,3,18,8,6,55,5,29,3,0,1936031,2,68,49,5816026,291092,12948329,5196272,210,156,48,68,40,108,30,1,38,1,3,6,6,13.5,28,44,52,45,1,72.31,36,186436,201623,388059,19849,18830
2010,71367,Cleveland Clinic,Yes,Cleveland,OH,4HRI,252000000,35,106000000,67000000,2532019,715731,219,18,1,12,18,5,32,13,31,4,0,25500000,2,79,41,5531907,129733,35505002,4473095,207,56,0,56,0,102,38,1,33,2,3,5,5,10,15,44,52,45,1,72.31,36,186436,201623,388059,19849,18830
2015,71372,Cold Spring Harbor Laboratory,No,Cold Spring Harbor,NY,4HRI,99066560,21,49063021,3927113,578764,0,189,3,2,10,6,5,26,16,19,2,0,0,0,93,71,5831863,302932,6391168,559305,13,19,0,19,0,23,2,,11,1,1,1,1,3.5,2,,17,45,3,7.79,,,,,,
2014,71372,Cold Spring Harbor Laboratory,No,Cold Spring Harbor,NY,4HRI,48936526,19,43871473,5065053,474321,0,203,7,5,7,6,6,29,9,16,3,0,0,1,68,34,1879713,61131,2641761,762048,7,7,0,6,1,14,7,,11,0,6,6,4,3.5,2,,17,45,3,7.79,,,,,,
2015,71385,Cornell University,Yes,Ithaca,NY,5U,817533145,94,440806031,40671859,7289810,3609426,1135,34,15,16,58,20,139,50,84,10,0,9456,0,376,202,3668595,434727,8420247,4742196,357,111,0,111,0,301,109,10,75,6,10,15,14,9,18,,58,39,1,25.31,,,,,,
2014,71385,Cornell University,Yes,Ithaca,NY,5U,777036076,107,439731397,33618732,7110038,3180833,960,21,10,5,89,13,123,76,97,10,0,23370,2,417,223,5268967,242667,11124292,5831955,354,154,0,151,3,292,96,12,62,7,6,11,9,10,18,,58,39,1,25.31,,,,,,
2013,71385,Cornell University,Yes,Ithaca,NY,5U,765763067,162,445021002,28751375,6613758,3106623,816,19,5,17,137,8,134,142,161,1,0,196863,1,440,201,3249036,309248,7852122,4406223,395,196,2,185,9,330,72,25,58,10,4,8,4,10,15,,58,39,1,25.31,,,,,,
2012,71385,Cornell University,Yes,Ithaca,NY,5U,802386590,182,472673138,31364899,5386858,3037493,816,29,7,8,159,15,122,148,177,5,0,474521,2,372,136,5719488,273098,9606906,3412897,390,207,3,202,2,320,90,23,63,5,4,7,4,11,15,,58,39,1,25.31,,,,,,
2011,71385,Cornell University,Yes,Ithaca,NY,5U,795968323,162,490216801,23003299,5562831,2398078,883,22,1,9,143,10,117,130,152,10,,1503289,1,367,127,2557690,466829,8503975,4442996,367,174,2,162,10,364,82,21,62,2,5,10,1,11,16.5,,58,39,1,25.31,,,,,,
2010,71385,Cornell University,Yes,Ithaca,NY,5U,764244588,37,461168517,21748898,5885736,2712632,553,19,6,8,17,12,40,12,31,6,0,152055,2,207,113,2528646,1185064,11579905,8899204,308,142,4,137,1,280,69,20,61,1,11,12,6,11,17,,58,39,1,25.31,,,,,,
2015,71402,Dana-Farber Cancer Institution,No,Boston,MA,4HRI,256363626,52,157218710,61103487,4565855,182144,320,5,2,27,22,3,8,44,49,3,0,656477,2,185,140,2198420,705403,8075777,5220880,134,400,208,112,8,192,42,6,13,3,2,5,1,13,7,72,69,35,3,42.39,31.8,322149,347320,669469,18350,190123
2014,71402,Dana-Farber Cancer Institution,No,Boston,MA,4HRI,241144618,32,146540099,55206934,3485010,476560,,5,1,,,2,,19,28,4,, ,2,174,152, , ,24114089, ,124,,,45,,,,0,,,,,,12,3,72,69,35,3,42.39,31.8,322149,347320,669469,18350,190123
2013,71402,Dana-Farber Cancer Institution,No,Boston,MA,4HRI,249256823,38,154688250,53858917,3113382,574012,475,9,1,,,2,,22,31,7,0,0,0,152,116,2284737,221050,5430711,3145974,126,58,0,58,0,75,21,1,23,0,1,2,1,9,2,72,69,35,3,42.39,31.8,322149,347320,669469,18350,190123
2012,71402,Dana-Farber Cancer Institution,No,Boston,MA,4HRI,255284803,35,163028806,50908482,3604788,124111,444,4,2,13,20,2,28,26,30,5,0,0,0,154,117,1115803,416692,4071695,2955892,99,49,0,49,0,81,24,1,21,0,2,2,2,6,3,72,69,35,3,42.39,31.8,322149,347320,669469,18350,190123
2011,71402,Dana-Farber Cancer Institution,No,Boston,MA,4HRI,286892056,37,186085980,54951653,2578745,535253,406,8,2,12,22,3,37,22,30,7,0,0,2,166,114,3150658,466772,7218137,4067479,87,29,0,29,0,83,20,1,19,0,1,3,2,6,2,72,69,35,3,42.39,31.8,322149,347320,669469,18350,190123
2010,71402,Dana-Farber Cancer Institution,No,Boston,MA,4HRI,261421413,36,193144788,37595965,2576286,867996,385,7,2,13,22,1,38,28,35,1,0,210595,1,164,119,2937727,421206,7455219,4306897,74,38,0,38,0,91,27,3,18,0,1,1,1,6,2,72,69,35,3,42.39,31.8,322149,347320,669469,18350,190123
2015,71405,Dartmouth College,Yes,Hanover,NH,5U,184878749,4,162130052,12877453,1171315,169750,106,3,1,0,3,1,6,1,4,0,15,15239,0,55,43,781037,15874,1003025,206749,85,55,0,55,0,131,25,0,10,0,0,1,1,1.15,3.2,,80,29,3,9.78,,,,,,
2014,71405,Dartmouth College,Yes,Hanover,NH,5U,212358928,8,160935875,10536469,1085389,130372,111,5,1,1,5,2,10,3,8,0,15,61592,0,70,54,644203,19351,963513,257718,65,40,0,39,1,107,32,0,20,0,1,1,1,2,2.5,,80,29,3,9.78,,,,,,
2013,71405,Dartmouth College,Yes,Hanover,NH,5U,199474532,8,168397834,31076698,1207674,371931,115,4,1,0,6,2,8,3,7,1,2,0,0,76,42,1262135,41929,1467349,205214,60,32,0,32,0,126,32,0,18,0,1,1,1,2,2.5,,80,29,3,9.78,,,,,,
