YEAR,[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE,Tot Res Exp,Tot Lic/Opt Exe,Fed Res Exp,Ind Res Exp,Leg Fees,Reimb Leg Fee,Act Lic,Excl Lic/Opt.,Lic w Equ,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Discl Lic,Non-Excl Lic/Opt,Lic Iss,Opt Iss,NEWCOMPSUPP,Lic Inc Equ,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Inc Other,Lic Inc Pd Oth,Gross Lic Inc,Lic Inc Run Roy,Inv Dis Rec,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Tot Pat App Fld,Iss US Pat,New Prod,Cum Op St-Ups,St-Ups Cld,St-Ups in Home St,St-Ups Formed,St-Ups w Equ,Lic FTEs,Oth FTEs,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born
2011,72010,Utah State University,No,Logan,UT,5U,174167000,13,113871000,4226000,129088,49568,,4,3,2,8,3,11,9,13,0,0,0,0,16,26,141863,7642,775112,633249,92,29,0,28,1,67,9,2,34,0,3,3,1,4.8,2,,51,41,1,22.43,,,,,,
2010,72010,Utah State University,No,Logan,UT,5U,149169000,19,90581000,4821000,98612,46322,,7,3,4,10,5,13,12,19,0,0,0,0,7,18,97350,6775,729757,632407,92,29,0,27,2,50,16,4,31,1,5,5,3,5,3,,51,41,1,22.43,,,,,,
2015,72031,Pennsylvania State University,Yes,State College,PA,5U,801348000,24,510057000,79128000,1814408,1236574,199,13,3,8,6,10,41,8,21,3,14,0,0,82,45,1352822,90757,1957775,604953,144,129,0,91,20,175,36,4,64,8,6,8,3,5.5,7.5,41,78,39,1,24.29,,,,,,
2014,72031,Pennsylvania State University,Yes,State College,PA,5U,813125000,36,501228000,100909000,1756020,1048224,178,20,7,12,9,15,42,10,30,6,20,4288,0,84,44,1015914,1634,1525921,505719,117,108,0,66,42,154,55,5,64,1,7,9,3,4.5,7.5,41,78,39,1,24.29,,,,,,
2013,72031,Pennsylvania State University,Yes,State College,PA,5U,848215000,36,537298000,101035000,1744687,810690,167,16,8,8,8,20,56,11,27,9,0,858010,0,85,46,875964,11941,2267016,533042,159,129,0,81,48,153,41,4,56,0,9,10,4,4,7.5,41,78,39,1,24.29,,,,,,
2012,72031,Pennsylvania State University,Yes,State College,PA,5U,807502000,21,507428000,110123000,1750388,1299695,153,8,4,7,8,6,37,10,18,3,0,0,1,83,44,2412945,2836,3095017,682072,132,99,0,75,24,132,39,3,46,2,4,5,2,4.5,7.5,41,78,39,1,24.29,,,,,,
2011,72031,Pennsylvania State University,Yes,State College,PA,5U,804789000,23,477086000,107373000,1658172,1147482,158,9,0,8,9,6,16,9,18,5,0,1593288,1,89,45,720798,2783,2947261,633175,144,85,0,61,24,122,37,,43,2,2,5,0,4.5,8.5,41,78,39,1,24.29,,,,,,
2010,72031,Pennsylvania State University,Yes,State College,PA,5U,780066000,24,472368000,103772000,2015550,1053181,162,8,3,13,6,5,29,11,19,5,0,27430,0,87,52,1560683,65258,2271002,682889,133,78,0,51,27,134,54,1,40,2,4,5,1,4.5,6.5,41,78,39,1,24.29,,,,,,
2015,72060,Portland State University,No,Portland,OR,5U,62531665,44,40320367,669615,203657,83526,101,3,1,20,22,2,16,39,42,2,3,0,0,63,4,586232,0,610987,24755,16,22,14,4,8,8,6,2,8,1,1,1,1,2,2,49,83,42,1,57.66,36.7,313516,318671,632187,29940,86041
2014,72060,Portland State University,No,Portland,OR,5U,58168451,30,40209209,856903,263337,196984,65,3,1,1,28,1,31,26,29,1,0,0,0,44,2,351919,0,352490,571,25,9,0,9,0,20,7,1,6,1,0,0,0,2,1.75,49,83,42,1,57.66,36.7,313516,318671,632187,29940,86041
2013,72060,Portland State University,No,Portland,OR,5U,59200000,38,47800000,1400000,268149,154798,57,5,2,1,34,3,10,32,37,1,0,0,0,35,0,312322,0,312322,0,24,6,0,6,0,18,5,2,8,0,3,3,2,2,1.75,49,83,42,1,57.66,36.7,313516,318671,632187,29940,86041
2012,72060,Portland State University,No,Portland,OR,5U,67447084,23,51966343,1395169,202082,17714,25,2,0,1,20,2,10,19,21,2,0,0,0,24,1,160830,0,173241,12411,21,13,0,11,2,23,6,0,5,0,2,2,0,2,1.5,49,83,42,1,57.66,36.7,313516,318671,632187,29940,86041
2011,72060,Portland State University,No,Portland,OR,5U,64800000,16,50000000,747000,168971,3472,26,1,1,0,15,1,5,15,16,0,0,0,0,10,2,69281,0,69281,0,16,11,0,10,1,16,4,1,3,,,0,,1.75,0.5,49,83,42,1,57.66,36.7,313516,318671,632187,29940,86041
2010,72060,Portland State University,No,Portland,OR,5U,58192861,6,42419774,995000,121092,8913,17,0,0,1,4,1,4,3,3,3,0,0,0,15,1,91960,0,91960,0,13,6,0,5,1,12,1,1,4,0,0,0,0, , ,49,83,42,1,57.66,36.7,313516,318671,632187,29940,86041
2015,72068,Princeton University,No,Princeton,NJ,5U,194185000,16,158721707,8641545,1452741,962741,54,6,0,3,9,4,25,4,10,6,,0,2,38,18,666000,1617106,142231000,141565000,117,157,28,129,64,217,31,1,25,0,1,4,0,3,3,,88,47,3,11.12,33.3,42581,41650,84231,2604,20428
2014,72068,Princeton University,No,Princeton,NJ,5U,199813000,12,164802000,7649000,2160394,1622394,41,2,1,1,6,5,25,4,6,6,3,16000,3,38,20,3244000,1166000,142980000,139720000,106,165,0,122,43,175,28,,21,0,1,4,1,3,2.5,,88,47,3,11.12,33.3,42581,41650,84231,2604,20428
2013,72068,Princeton University,No,Princeton,NJ,5U,199137691,12,168531003,2092736,3754000,3026000,32,4,0,4,4,4,33,5,9,3,4,0,3,41,10,300000,756000,134000000,133700000,107,150,0,125,25,160,29,,16,0,0,1,1,3,2,,88,47,3,11.12,33.3,42581,41650,84231,2604,20428
2012,72068,Princeton University,No,Princeton,NJ,5U,192323098,19,162320600,1269300,3536000,3068000,0,4,0,3,11,5,27,10,14,5,3,0,1,52,10,3068000,468375,130086000,127018000,106,130,0,97,33,139,31,1,0,0,0,0,0,3,2,,88,47,3,11.12,33.3,42581,41650,84231,2604,20428
2011,72068,Princeton University,No,Princeton,NJ,5U,192940000,13,144096000,1480100,2560000,2380000,,6,0,1,8,4,20,2,8,5,2,0,1,30,14,1345633,246000,115206000,113860367,84,91,0,65,26,95,33,1,,1,1,4,0,3,2,,88,47,3,11.12,33.3,42581,41650,84231,2604,20428
2015,72075,Purdue Research Foundation,No,West Lafayette,IN,5U,576435000,131,224196000,42498000, , ,,36,1,,,,241,69,105,26,,1329133,1,183,94,1737168, ,6377899,3311598,317,193,,,,386,122,3,97,,19,25,1,6,10,44,63,42,1,18.22,33.5,34313,36857,71170,5045,5697
2014,72075,Purdue Research Foundation,No,West Lafayette,IN,5U,582146000,120,243257000,39373000, , ,,41,3,,,,206,52,93,27,,2394592,2,160,82,1946173, ,7137369,2796604,284,161,0,161,0,471,100,5,82,,20,24,3,7,9,44,63,42,1,18.22,33.5,34313,36857,71170,5045,5697
2013,72075,Purdue Research Foundation,No,West Lafayette,IN,5U,613652000,87,278295000,39574000, , ,432,25,,25,54,8,164,47,72,15,,167169,1,169,85,3079514, ,6305827,3059144,314,158,0,158,0,491,66,3,61,,6,8,,7,9,44,63,42,1,18.22,33.5,34313,36857,71170,5045,5697
2012,72075,Purdue Research Foundation,No,West Lafayette,IN,5U,627486000,77,283194000,33477000, , ,411,19,0,27,45,5,102,43,62,15,,0,1,179,105,1938007, ,4855772,2917765,356,175,0,166,9,446,54,5,64,4,4,5,0,9,7,44,63,42,1,18.22,33.5,34313,36857,71170,5045,5697
2011,72075,Purdue Research Foundation,No,West Lafayette,IN,5U,600477000,64,268872000,30186000,3928809,2822240,393,18,0,28,29,7,98,30,48,16,,1610926,1,150,88,2022073, ,5836669,2203670,268,175,0,167,8,302,57,5,63,4,6,7,0,7,7,44,63,42,1,18.22,33.5,34313,36857,71170,5045,5697
2010,72075,Purdue Research Foundation,No,West Lafayette,IN,5U,572866000,99,241127000,32022000,3946050,3159170,387,43,2,31,57,11,135,33,76,23,26,159913,0,169,93,1463917, ,3931628,2307798,257,124,0,117,7,290,52,1,60,6,9,11,2,7,7,44,63,42,1,18.22,33.5,34313,36857,71170,5045,5697
2015,72104,Rice University,No,Houston,TX,5U,121502799,12,76825165,11031346,2617567,1132355,58,6,1,1,3,8,34,0,6,6,0,0,1,23,6,2507810,3665,2512799,4989,103,79,0,78,1,140,39,1,19,3,2,5,1,6,7,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
2014,72104,Rice University,No,Houston,TX,5U,110486000,14,63421822,9186517,2178333,622296,56,6,2,1,6,7,38,4,10,4,0,134530,1,18,9,2076206,4306,2234337,23601,123,89,0,88,1,180,53,1,17,1,1,2,2,5,7,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
2013,72104,Rice University,No,Houston,TX,5U,110006678,12,70765345,7996506,2230730,779005,48,7,2,5,2,5,35,2,9,3,0,187608,0,20,6,303975,7162,522198,30615,112,81,1,79,1,133,53,,19,3,2,2,0,4.5,3,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
2012,72104,Rice University,No,Houston,TX,5U,95606304,13,76963787,14681084,2186289,645505,45,6,1,5,2,6,25,4,10,3,0,51519,0,19,6,185526,29767,275509,38464,87,131,44,63,24,87,53,2,20,0,,0,,5,2.5,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
2011,72104,Rice University,No,Houston,TX,5U,122219899,12,97302340,7118296,1970946,875209,53,9,4,2,7,3,40,3,12,0,0,0,0,15,7,212037,29736,249111,37074,121,143,52,72,19,91,84,2,20,1,3,3,0,4.2,3.5,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
2010,72104,Rice University,No,Houston,TX,5U,105332776,11,83409383,7648960,1313527,1452870,76,8,2,5,3,3,23,1,9,2,,0,0,15,6,150228,7038,288851,138623,80,102,25,57,20,88,30,,21,4,2,3,2,4.07,2.63,36,49,44,3,58.01,32.6,1149686,1148942,2298628,71898,696210
2015,72134,Salk Institution for Biological Studies,No,San Diego,CA,4HRI,99178000,38,44538760,4625500,664829,438015,179,5,3,22,11,5,30,30,35,3,0,0,0,112,51,8066491,135783,8443889,377398,51,110,19,30,16,50,17,1,28,0,2,5,2,2.25,6.75,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
2014,72134,Salk Institution for Biological Studies,No,San Diego,CA,4HRI,98621098,26,54618711,3555313,952456,335511,157,2,0,8,14,4,12,21,23,3,0,0,0,96,44,3210505,130506,3712937,502432,60,46,8,27,7,47,1,1,21,0,1,2,1,4,5,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
2013,72134,Salk Institution for Biological Studies,No,San Diego,CA,4HRI,99477617,18,52211842,5944700,869209,255424,139,2,0,6,11,1,7,12,14,4,0,0,0,96,35,2075368,101554,2993719,918351,34,23,0,23,0,45,13,1,0,0,0,0,0,5,5,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
2012,72134,Salk Institution for Biological Studies,No,San Diego,CA,4HRI,106220828,5,60374968,10686078,1240073,412339,214,1,0,2,2,1,4,4,5,0,0,0,1,78,52,3091733,183843,3611491,519758,32,9,0,9,0,52,12,,9,0,0,1,0,4,5,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
2011,72134,Salk Institution for Biological Studies,No,San Diego,CA,4HRI,104123250,12,63581751,8066158,906545,508177,218,2,0,6,5,1,5,9,11,1,0,0,0,105,43,2371986,97165,2941728,569742,36,29,0,29,0,63,11,,9,0,1,1,0,3,5,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
2010,72134,Salk Institution for Biological Studies,No,San Diego,CA,4HRI,90744175,15,56979156,6411147,1061500,584526,241,2,1,6,8,1,5,11,13,2,0,0,0,114,53,2371793,149528,2813107,441314,33,28,0,28,0,73,8,,4,0,1,1,1,3,4,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
2015,72140,San Diego State University,No,San Diego,CA,5U,56630400,9,46870141,316864,182086,44777,,,3,,,3,,,7,2,, ,,,, , ,584536, ,35,22,,,,,3,2,,,,1,,2,1.25,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
2014,72140,San Diego State University,No,San Diego,CA,5U,61885940,12,50541698,396082,208808,58583,,9,1,0,10,2,19,3,12,0,0,0,0,,,702000, ,1314965,612965,30,22,,,,22,4,2,,0,1,1,1,1.5,1.25,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
2013,72140,San Diego State University,No,San Diego,CA,5U,59997417,14,51273790,332828,173064,10459,109,8,0,3,10,1,9,2,10,4,,0,0,36,36,0,6993,401881,401881,32,21,,,,19,4,2,,0,1,1,0,1.5,1.25,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
2012,72140,San Diego State University,No,San Diego,CA,5U,66887728,8,56880989, ,110000, ,106,5,1,,3,3,10,1,6,2,5,0,0,33,33,0,0,355812,355812,52,15,0,15,0,24,2,4,24,4,3,3,,1.5,1,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
2011,72140,San Diego State University,No,San Diego,CA,5U,145180658,11,70466970,1936037,102620,41091,146,6,5,1,2,8,12,1,7,4,0,0,0,41,41,0,0,530738,530738,37,32,1,22,9,32,2,12,25,0,4,4,6,1.5,1,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
2010,72140,San Diego State University,No,San Diego,CA,5U,151035732,12,79893484,3753173,116581,36581,40,6,0,2,4,6,14,3,9,3,0,0,0,40,40,0,0,365814,365814,28,36,10,26,0,26,2,8,18,0,3,3,3,1.5,1,37,43,60,1,26.89,34.5,693826,701081,1394907,92489,373842
2015,72222,Stanford University,Yes,Stanford,CA,5U,946378322,112,692367999,88135818,9580062,3777870,1663,43,28,,,,0,38,81,31,,3183799,8,695,175,13222508,728689,95110075,78703768,483,286,13,271,14,693,232,20,,,25,28,28,22,20,40,78,52,3,11.94,33.5,42493,37945,80438,1376,31857
2014,72222,Stanford University,Yes,Stanford,CA,5U,887196642,106,657141128,77266464,9806325,4385626,1400,31,20,0,0,0,106,48,79,27,,23195942,6,655,186,13498252,573676,108604960,71910766,481,271,1,259,11,590,187,21,,,22,23,15,22,20,40,78,52,3,11.94,33.5,42493,37945,80438,1376,31857
2013,72222,Stanford University,Yes,Stanford,CA,5U,873847286,123,664767726,68174508,9326906,3469974,1200,20,11,,,,103,83,103,20,,1004785,6,622,194,20334879,706959,86967392,65627728,502,298,4,283,11,618,199,19,,,8,9,7,20,20,40,78,52,3,11.94,33.5,42493,37945,80438,1376,31857
2012,72222,Stanford University,Yes,Stanford,CA,5U,853917196,137,656648707,68459328,8701816,3187619,,33,17,,,,103,82,115,22,0,1230502,4,660,198,13915772,771000,76727029,61580755,504,285,4,264,17,613,201,26,,,,,,20,18,40,78,52,3,11.94,33.5,42493,37945,80438,1376,31857
2011,72222,Stanford University,Yes,Stanford,CA,5U, ,123, , ,7547730,3957845,,47,8,,,,80,54,101,22,,2398737,5,600,200,9357686,655208,66797246,55040823,504,282,,,,595,,,,,,,,18,16,40,78,52,3,11.94,33.5,42493,37945,80438,1376,31857
2010,72222,Stanford University,Yes,Stanford,CA,5U,805973770,90,618469038,58313971,7059494,2747634,1944,24,10,26,54,10,70,53,77,13,0,1293676,2,553,0,8283715,620473,65466286,55888895,467,376,,,,476,180,,,,,,,17,13,40,78,52,3,11.94,33.5,42493,37945,80438,1376,31857
2015,72280,Texas A&M University System,Yes,,TX,5U,866678000,79,304437000,71559000,1930687,571928,475,34,0,18,53,8,119,12,46,33,0,0,1,225,190,963977,383959,10154487,9190510,258,111,0,83,0,182,32,3,72,1,4,8,0,13,7,,,,,,,,,,,
2014,72280,Texas A&M University System,Yes,,TX,5U,854214000,58,311920000,70607000,1807561,970249,500,12,6,17,33,8,87,12,24,34,0,0,1,211,192,987290,34,10205586,9218296,219,134,6,75,53,120,31,,65,1,9,9,7,12,8,,,,,,,,,,,
2013,72280,Texas A&M University System,Yes,,TX,5U,820015000,55,314104000,52299000,1134769,1170418,413,14,3,19,33,3,76,15,29,26,0,866599,1,230,203,1170418,36139,12826461,10789444,159,158,66,52,40,92,50,1,57,1,3,3,3,10,8,,,,,,,,,,,
2012,72280,Texas A&M University System,Yes,,TX,5U,693421000,71,269460000,49392000,1271241,1241225,513,17,0,25,45,1,162,16,33,38,,0,2,276,235,636943,27157,13073593,12436650,212,142,39,58,45,103,29,,59,2,4,5,0,15,9,,,,,,,,,,,
2011,72280,Texas A&M University System,Yes,,TX,5U,705720000,67,291812000,54880000,1787013,1378957,467,20,3,10,48,9,132,30,50,17,0,0,1,218,80,3211577,28333,9264041,6052464,284,52,0,46,6,82,18,,54,2,4,4,3,15,9,,,,,,,,,,,
2010,72280,Texas A&M University System,Yes,,TX,5U,689624000,49,288173000,46754000,1901823,1601160,507,18,0,9,40,0,107,24,42,7,0,0,2,219,131,1624564,65519,8620889,6996325,207,38,0,37,1,91,33,9,50,2,7,7,2,15,8,,,,,,,,,,,
2015,72284,Texas Tech University System,Yes,,TX,5U,208190000,14,47060000, , , ,51,9,3,1,5,8,17,1,10,4,0,0,0,35,35,22520,41600,368303,345783,102,32,0,32,0,64,4,5,25,2,5,6,2,2,2.5,,,,,,,,,,,
2014,72284,Texas Tech University System,Yes,,TX,5U,204000000,15, , , , ,36,6,2,4,1,10,21,3,9,6,0,80000,0,33,9,257925,0,520114,182189,94,58,5,36,17,73,2,1,20,3,6,6,2,2,1.5,,,,,,,,,,,
2013,72284,Texas Tech University System,Yes,,TX,5U,192000000,10, , , , ,37,9,2,1,3,6,11,0,9,1,, ,0,19,11, , ,462000, ,83,20,0,20,0,31,1,,23,1,5,6,2,2,1.5,,,,,,,,,,,
2015,72299,Thomas Jefferson University,Yes,Philadelphia,PA,5U,74863271,6,56436686,9306428,360000,19000,41,6,4,0,2,4,6,0,6,0,2,0,0,87,87,100000,8500,1060000,960000,71,53,19,20,14,34,10,,4,0,3,4,4,3,2,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
2013,72299,Thomas Jefferson University,Yes,Philadelphia,PA,5U,76959000,11,56394000,8115000,588530,303434,36,2,0,5,6,0,9,6,8,3,0,0,0,30,7,1163480,1063,1171295,7815,45,19,0,19,0,38,7,0,13,0,0,0,0,3,4,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
2012,72299,Thomas Jefferson University,Yes,Philadelphia,PA,5U,90775000,13,69112000,8647000,502922,260518,47,4,2,4,4,5,17,5,9,4,3,0,0,29,6,971312,32690,979210,7898,53,20,7,13,0,27,6,0,13,0,0,1,0,3,4,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
2011,72299,Thomas Jefferson University,Yes,Philadelphia,PA,5U,100452376,15,80049178,8189904,628051,238387,52,5,0,10,4,1,19,9,14,1,0,114754,0,44,8,715669,5313,837912,7489,60,17,0,17,0,26,9,0,12,0,,0,0,4,3,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
2010,72299,Thomas Jefferson University,Yes,Philadelphia,PA,5U,99193267,13,77852985,10160747,591493,419115,53,2,0,8,2,3,13,8,10,3,0,0,0,45,9,931287,10550,949972,18685,57,10,0,10,0,33,10,0,12,0,1,2,0,4,3,67,67,42,3,57.59,34.1,741270,826172,1567442,61995,205339
2015,72320,Tulane University,Yes,New Orleans,LA,5U,122042024,8,93412191,15079509, , ,59,2,0,1,3,4,7,2,4,4,0,0,1,17,9,68750,0,2172377,2103627,48,29,0,29,0,39,12,1,9,0,2,3,0,2,2,44,66,41,1,75.79,35.9,185736,203881,389617,17388,21679
2014,72320,Tulane University,Yes,New Orleans,LA,5U,134233643,9,102377651,26620745,1409671,50000,58,4,3,0,3,6,9,2,6,3,0,0,0,16,11,107063,0,2533364,2426301,50,22,0,22,0,56,9,0,17,0,2,3,5,2,2,44,66,41,1,75.79,35.9,185736,203881,389617,17388,21679
2013,72320,Tulane University,Yes,New Orleans,LA,5U,135375143,9,110935226,16056874,1268381,600668,48,4,2,3,0,6,12,3,7,2,0,0,1,15,11,46522,0,3836253,3789731,57,42,0,39,3,48,4,0,13,0,3,4,2,2,2,44,66,41,1,75.79,35.9,185736,203881,389617,17388,21679
2012,72320,Tulane University,Yes,New Orleans,LA,5U,152053048,8,108844856,35834426,3117802,4946329,45,1,0,2,2,4,11,5,6,2,0,0,2,18,11,6092975,0,10629051,4536076,55,22,0,22,0,50,2,1,9,0,2,4,0,2,2,44,66,41,1,75.79,35.9,185736,203881,389617,17388,21679
2011,72320,Tulane University,Yes,New Orleans,LA,5U,147716395,6,123901471,13128714,1321645,590865,41,3,0,0,3,3,11,0,3,3,,0,1,17,10,76073,20000,3208650,3132577,36,29,0,29,0,58,5,1,6,0,2,3,0,2,2,44,66,41,1,75.79,35.9,185736,203881,389617,17388,21679
2010,72320,Tulane University,Yes,New Orleans,LA,5U,172798616,2,139946268,23094083, , ,36,1,0,1,1,0,2,1,2,0,0,0,2,22,13,158473,20000,6708767,6550294,36,16,0,15,1,28,2,1,3,0,0,0,0,2,2,44,66,41,1,75.79,35.9,185736,203881,389617,17388,21679
2015,72341,The UAB Research Foundation,Yes,Birmingham,AL,5U,516229000,23,328531000,48540000,1669247,415688,220,3,0,14,9,0,24,20,23,0,9,0,1,142,78,1607606,709012,3596587,1988981,56,32,20,32,0,85,15,0,33,1,0,0,0,5.35,4,21,31,38,1,78.38,35.6,102122,112789,214911,13212,8258
2014,72341,The UAB Research Foundation,Yes,Birmingham,AL,5U,428149000,22,319717000,55432000,2004714,973993,197,1,0,15,6,1,22,21,22,0,0,0,1,137,83,1571950,1005366,3998632,2426682,90,34,0,34,0,69,24,2,34,0,0,1,0,6.15,6,21,31,38,1,78.38,35.6,102122,112789,214911,13212,8258
2013,72341,The UAB Research Foundation,Yes,Birmingham,AL,5U,443590000,22,290082000,23597000,1865409,933242,223,5,3,10,9,3,31,15,20,2,0,0,1,143,86,2207805,538701,4368684,2160879,101,30,0,30,0,68,15,1,33,0,2,2,2,6.65,7.7,21,31,38,1,78.38,35.6,102122,112789,214911,13212,8258
2012,72341,The UAB Research Foundation,Yes,Birmingham,AL,5U,453779000,35,306210000,21430000,1516905,837746,202,9,2,21,12,2,46,25,34,1,0,361089,0,138,92,1541137,426520,3965423,2063197,112,43,0,43,0,89,10,3,31,0,2,2,1,7.9,7.45,21,31,38,1,78.38,35.6,102122,112789,214911,13212,8258
2011,72341,The UAB Research Foundation,Yes,Birmingham,AL,5U,503698000,27,344164000,21714000,1518021,1041342,220,6,3,13,9,5,33,19,25,2,0,105067,3,133,101,4189658,570484,6676056,2381331,85,37,0,37,0,76,12,0,29,0,3,5,3,7.95,7.25,21,31,38,1,78.38,35.6,102122,112789,214911,13212,8258
2010,72341,The UAB Research Foundation,Yes,Birmingham,AL,5U,489845000,22,325103000,22660000,1930764,1064239,228,7,5,6,12,4,33,13,20,2,0,0,0,122,78,2272792,333186,3804741,1531949,104,37,0,37,0,96,14,1,24,0,4,4,4,6.15,7.2,21,31,38,1,78.38,35.6,102122,112789,214911,13212,8258
2015,72342,University of Alabama in Huntsville,No,Huntsville,AL,5U,76633195,4,50619988,16603747,99876,15189,10,2,2,1,1,2,15,1,3,1,0,0,1,8,8,1000000,0,1028941,28941,23,6,0,6,0,17,7,1,7,2,2,2,1,1,1,11,40,39,1,33.74,38.1,91764,97350,189114,16637,12691
2014,72342,University of Alabama in Huntsville,No,Huntsville,AL,5U,89458782,1,71037377,6522200,94694,16768,9,1,1,0,0,1,2,0,1,0,0,0,1,4,4,1000000,0,1031734,31734,24,13,0,11,2,17,5,1,,0,5,5,3,1,1,11,40,39,1,33.74,38.1,91764,97350,189114,16637,12691
2013,72342,University of Alabama in Huntsville,No,Huntsville,AL,5U,97367181,2,81909760,6714813,58239,15389,9,1,1,1,0,1,9,0,1,1,,0,1,7,7,1000000,0,1018347,18347,25,10,0,7,3,11,1,1,8,2,0,0,0,1,1,11,40,39,1,33.74,38.1,91764,97350,189114,16637,12691
2012,72342,University of Alabama in Huntsville,No,Huntsville,AL,5U,88636301,2,72318223,7406172,60132,11001,12,1,0,0,1,1,2,0,1,1,0,0,1,7,6,1000000,0,1023170,23170,19,8,1,1,6,8,2,1,10,0,2,2,6,1,1,11,40,39,1,33.74,38.1,91764,97350,189114,16637,12691
2011,72342,University of Alabama in Huntsville,No,Huntsville,AL,5U,83769182,4,62356878,7663984,42759,13277,9,0,1,0,1,3,5,3,3,1,0,0,1,7,6,1000000,0,1043045,43045,20,8,0,7,1,11,3,1,15,3,4,4,5,1,2,11,40,39,1,33.74,38.1,91764,97350,189114,16637,12691
2010,72342,University of Alabama in Huntsville,No,Huntsville,AL,5U,82102043,2,62378567,7786644,70724,4428,6,2,1,0,0,2,2,0,2,0,1,0,1,7,6,1000000,0,1037722,37722,20,5,0,3,2,5,2,1,16,3,4,4,1,1,2,11,40,39,1,33.74,38.1,91764,97350,189114,16637,12691
2015,72345,University of Arizona,Yes,Tucson,AZ,5U,606219000,83,269959000,15558000,1692140,778984,326,31,6,29,31,23,91,38,69,14,0,0,1,98,40,3152053,39216,3895882,743829,213,89,1,87,1,200,35,5,70,6,10,12,5,8.25,6.5,35,66,49,1,54.47,33.6,264893,266781,531674,38182,82220
2014,72345,University of Arizona,Yes,Tucson,AZ,5U,588088000,72,290370000,16372000,1209174,515211,311,23,7,7,46,19,79,33,56,16,,0,0,99,44,861676,44212,1112331,250655,188,81,0,76,5,167,24,7,64,4,9,11,5,8.5,6.25,35,66,49,1,54.47,33.6,264893,266781,531674,38182,82220
2013,72345,University of Arizona,Yes,Tucson,AZ,5U,629466000,48,338790000,13964000,830223,418743,295,11,0,23,19,6,39,26,37,11,0,0,0,89,43,705040, ,926023,220983,144,76,0,75,1,145,27,1,54,3,3,3,3,8.5,5,35,66,49,1,54.47,33.6,264893,266781,531674,38182,82220
2012,72345,University of Arizona,Yes,Tucson,AZ,5U,625365000,47,331578000,15693000,1022799,627572,300,7,0,20,11,16,50,22,29,18,0,0,0,83,64,579190,0,921965,342775,142,85,0,80,5,119,21,1,63,0,3,5,0,8.5,5,35,66,49,1,54.47,33.6,264893,266781,531674,38182,82220
2011,72345,University of Arizona,Yes,Tucson,AZ,5U,610565000,80,327565000,17485000,895873,432790,418,12,0,47,18,15,64,46,58,22,0,0,0,75,50,601146,0,981495,380349,149,78,0,72,6,153,19,2,58,0,7,8,0,8.7,5.5,35,66,49,1,54.47,33.6,264893,266781,531674,38182,82220
2010,72345,University of Arizona,Yes,Tucson,AZ,5U,586647000,64,308157000,19618000,736428,540324,241,8,0,28,21,15,63,26,34,30,0,0,0,70,52,263086,0,718027,454941,131,67,2,55,10,136,13,,,,4,6,,6.5,6,35,66,49,1,54.47,33.6,264893,266781,531674,38182,82220
2015,72354,University of Central Florida,Yes,Orlando,FL,5U,215519000,38,88814000,8175000,1684908,160097,100,17,3,5,19,14,97,7,24,14,0,0,0,43,11,522871,19800,1582117,1059246,98,56,4,50,2,118,62,,37,,8,14,2,5,8,33,57,32,1,57.73,33.1,130940,139977,270917,12782,50558
2014,72354,University of Central Florida,Yes,Orlando,FL,5U,185555000,23,70716000,7927000,1780816,286007,75,9,4,7,8,8,69,8,17,6,0,0,0,35,13,441527,31500,1072103,630576,98,60,4,52,4,132,57,1,21,0,6,8,4,5,6,33,57,32,1,57.73,33.1,130940,139977,270917,12782,50558
