[ID],INSTITUTION,City,State,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born
95194,University of Dayton,Dayton,OH,,47,42,1,67.43,32.8,66631,73966,140597,8465,7381
72554,Wright State University,Dayton,OH,,47,42,1,67.43,32.8,66631,73966,140597,8465,7381
71464,Embry-Riddle Aeronautical University,Daytona Beach,FL,31,51,30,1,69.82,,,,,,
80498,Northern Illinois University,Dekalb,IL,,61,44,1,34.96,31.7,101964,101751,203715,4988,50980
95113,National Jewish Med. and Research Center,Denver,CO,45,72,44,1,54.54,34.1,341137,341408,682545,29363,113222
95196,University of Denver,Denver,CO,45,72,44,1,54.54,34.1,341137,341408,682545,29363,113222
72514,Wayne State University,Detroit,MI,36,52,44,1,78.06,34.8,319265,357859,677124,29511,39861
71435,Duke University,Durham,NC,28,38,37,1,51.85,33.2,121153,136445,257598,12528,38642
72399,University of New Hampshire,Durham,NH,,59,30,3,12.53,,,,,,
71846,Michigan State University,East Lansing,MI,,80,41,1,24.24,31.4,54333,59777,114110,5327,8371
72411,University of Oregon,Eugene,OR,32,72,41,1,46.4,33.4,79071,84377,163448,8896,14503
71963,Northwestern University,Evanston,IL,51,89,45,3,24.44,36.8,34146,41377,75523,2058,15003
20100285,University of Alaska,Fairbanks,AK,24,56,23,1,55.04,,,,,,
71543,George Mason University,Fairfax,VA,38,55,39,3,17.95,36,34749,37033,71782,3779,27797
72548,Woods Hole Oceanographic Institution,Falmouth,MA,,64,34,3,23.96,38.6,43793,51166,94959,4185,19024
95124,North Dakota State University,Fargo,ND,24,49,35,1,24.85,30.7,60560,58690,119250,6154,9428
109486,University of Arkansas Fayetteville,Fayetteville,AR,,50,42,1,27.97,27.1,41959,40873,82832,4744,6313
71959,Northern Arizona University,Flagstaff,AZ,39,65,34,1,41.32,23.9,33224,37093,70317,3667,4262
83581,Colorado State University,Fort Collins,CO,28,78,33,1,23.49,29.6,80893,80288,161181,8425,9704
72404,University of North Texas Health Science Center,Fort Worth,TX,22,39,45,3,46.3,32.6,414126,422843,836969,39182,143404
